tweetCreate,tweetId,tweetContent,userName,follower
2022-11-29 12:13:40+00:00,1597564449900331009,"Thank u so much for making this happen
The only reason why this would happen is u all
       https://t.co/umwCEWW9MJ",JacksonWang852,6972205
2022-11-30 10:39:15+00:00,1597903075016314881,"[2022 MAMA]
3RACHA (SKZ) X Jung jaeil X Tiger JK 'The letter from MUSIC'

MUSIC MAKES ONE

https://t.co/tIuLP8EnXl https://t.co/2vGVlJaT5D",Stray_Kids,8781491
2022-11-30 16:35:00+00:00,1597992604108718081,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",ascvjjsi,77
2022-11-30 16:35:00+00:00,1597992604075200513,"RT @BTS_Trans: Thank you for the Super King Best Huge King award 
ARMYs youre the ones who did it ! 
J-Hope you were so cool 
Jin hyung th",Chimchi55641477,35
2022-11-30 16:34:59+00:00,1597992598891016193,"RT @Stray_Kids: [2022 MAMA]
3RACHA (SKZ) X Jung jaeil X Tiger JK 'The letter from MUSIC'

MUSIC MAKES ONE

https://t.co/tIuLP8EnXl
https://",a_yeonniverse,49
2022-11-30 16:34:57+00:00,1597992590825357312,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",mykarinaweloveu,0
2022-11-30 16:34:56+00:00,1597992586840797185,"RT @kpoplikeperfect: 221129 MAMA ENDING

#MAMA #lesserafim ###### https://t.co/eKXT2PBMOv",JeonMINAm202629,1150
2022-11-30 16:34:56+00:00,1597992585649233923,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",eviverse,36
2022-11-30 16:34:53+00:00,1597992575369351168,"RT @MnetMAMA: [#2019MAMA] Say hello to #SakaguchiKentaro

#2019MAMA X #Qoo10
#MAMA #MnetAsianMusicAwards #MAMARedCarpet https://t.co/PHIQC1",N3IuWlJdvRfLMnP,1
2022-11-30 16:34:52+00:00,1597992569769984001,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",koto__FH_,48
2022-11-30 16:34:51+00:00,1597992567257210880,"RT @Stray_Kids: []
  2022 MAMA 2  !         

#StrayKids #
#2022MAMA #MAMA
#YouMak",silly_love__,634
